location,count,link
"spokane, wa",31,"http://localhost:4000/make_believe_public/browse.html#spokane,%20wa"
"kimberely, za",3,"http://localhost:4000/make_believe_public/browse.html#kimberely,%20za"
"124 post street, spokane, wa",3,"http://localhost:4000/make_believe_public/browse.html#124%20post%20street,%20spokane,%20wa"
"422 w riverside ave, spokane, wa",3,"http://localhost:4000/make_believe_public/browse.html#422%20w%20riverside%20ave,%20spokane,%20wa"
"tacoma, wa",3,"http://localhost:4000/make_believe_public/browse.html#tacoma,%20wa"
"glover field, spokane, wa",2,"http://localhost:4000/make_believe_public/browse.html#glover%20field,%20spokane,%20wa"
"st. paul, mn",2,"http://localhost:4000/make_believe_public/browse.html#st.%20paul,%20mn"
"202 w 2nd ave, spokane, wa",2,"http://localhost:4000/make_believe_public/browse.html#202%20w%202nd%20ave,%20spokane,%20wa"
"groningen, nl",2,"http://localhost:4000/make_believe_public/browse.html#groningen,%20nl"
"816 riverside avenue, spokane, wa",2,"http://localhost:4000/make_believe_public/browse.html#816%20riverside%20avenue,%20spokane,%20wa"
"10 s post st, spokane, wa 99201",2,"http://localhost:4000/make_believe_public/browse.html#10%20s%20post%20st,%20spokane,%20wa%2099201"
"flavel, oregon (historical)",1,"http://localhost:4000/make_believe_public/browse.html#flavel,%20oregon%20(historical)"
"914 w riverside ave, spokane, wa",1,"http://localhost:4000/make_believe_public/browse.html#914%20w%20riverside%20ave,%20spokane,%20wa"
"minneapolis, mn",1,"http://localhost:4000/make_believe_public/browse.html#minneapolis,%20mn"
"811 w riverside avenue, spokane, wa",1,"http://localhost:4000/make_believe_public/browse.html#811%20w%20riverside%20avenue,%20spokane,%20wa"
"liberty lake, wa",1,"http://localhost:4000/make_believe_public/browse.html#liberty%20lake,%20wa"
"w stevens wy ne, seattle, wa",1,"http://localhost:4000/make_believe_public/browse.html#w%20stevens%20wy%20ne,%20seattle,%20wa"
"209-211 post street, spokane, wa",1,"http://localhost:4000/make_believe_public/browse.html#209-211%20post%20street,%20spokane,%20wa"
"medical lake, wa",1,"http://localhost:4000/make_believe_public/browse.html#medical%20lake,%20wa"
"216-298 s post st., spokane, wa",1,"http://localhost:4000/make_believe_public/browse.html#216-298%20s%20post%20st.,%20spokane,%20wa"
"colville, wa",1,"http://localhost:4000/make_believe_public/browse.html#colville,%20wa"
"717 w main avenue, spokane, wa",1,"http://localhost:4000/make_believe_public/browse.html#717%20w%20main%20avenue,%20spokane,%20wa"
"232 n howard st, spokane, wa",1,"http://localhost:4000/make_believe_public/browse.html#232%20n%20howard%20st,%20spokane,%20wa"
"kalamazoo, mi",1,"http://localhost:4000/make_believe_public/browse.html#kalamazoo,%20mi"
"1110 w riverside ave, spokane, wa",1,"http://localhost:4000/make_believe_public/browse.html#1110%20w%20riverside%20ave,%20spokane,%20wa"
"609 riverside avenue, spokane, wa",1,"http://localhost:4000/make_believe_public/browse.html#609%20riverside%20avenue,%20spokane,%20wa"
"n post st & w spokane falls blvd, spokane, wa",1,"http://localhost:4000/make_believe_public/browse.html#n%20post%20st%20&%20w%20spokane%20falls%20blvd,%20spokane,%20wa"
"washington, dc",1,"http://localhost:4000/make_believe_public/browse.html#washington,%20dc"
"621 w mallon avenue, spokane, wa",1,"http://localhost:4000/make_believe_public/browse.html#621%20w%20mallon%20avenue,%20spokane,%20wa"
"cheney, wa",1,"http://localhost:4000/make_believe_public/browse.html#cheney,%20wa"
"de pere, wi",1,"http://localhost:4000/make_believe_public/browse.html#de%20pere,%20wi"
"zaanstroom, wormerveer, nl",1,"http://localhost:4000/make_believe_public/browse.html#zaanstroom,%20wormerveer,%20nl"
"north railroad avenue, spokane, wa",1,"http://localhost:4000/make_believe_public/browse.html#north%20railroad%20avenue,%20spokane,%20wa"
"amsterdam, nl",1,"http://localhost:4000/make_believe_public/browse.html#amsterdam,%20nl"
